Date,Gender,Annual Income,Model,Engine,Transmission,Color,Price ($),Body Style,Company
2023-04-16,Male,629000,528i,DoubleÂ Overhead Camshaft,Auto,Pale White,62000,SUV,BMW
2023-10-21,Male,778000,Metro,DoubleÂ Overhead Camshaft,Auto,Pale White,12000,Passenger,Chevrolet
2022-05-09,Male,13500,E-Class,DoubleÂ Overhead Camshaft,Auto,Red,15000,Sedan,Mercedes-B
2022-01-03,Male,520000,RL,Overhead Camshaft,Manual,Pale White,17000,SUV,Acura
2023-10-23,Female,750000,Sienna,Overhead Camshaft,Manual,Pale White,19001,Passenger,Toyota
2023-12-22,Male,755000,Ram Van,DoubleÂ Overhead Camshaft,Auto,Red,31000,Hatchback,Dodge
2022-03-16,Female,13500,Taurus,Overhead Camshaft,Manual,Black,43000,SUV,Ford
2023-11-22,Male,13500,SL,DoubleÂ Overhead Camshaft,Auto,Pale White,20000,SUV,Saturn
2023-11-19,Male,1100000,Villager,Overhead Camshaft,Manual,Pale White,14000,Passenger,Mercury
2023-03-15,Male,890000,Passat,DoubleÂ Overhead Camshaft,Auto,Red,13001,Hatchback,Volkswagen
2023-09-01,Female,512500,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,22500,SUV,Cadillac
2023-05-14,Male,2400000,TL,DoubleÂ Overhead Camshaft,Auto,Red,24001,Hatchback,Acura
2023-01-16,Male,585000,Bravada,Overhead Camshaft,Manual,Black,36000,Hatchback,Oldsmobile
2023-10-28,Female,13500,Malibu,DoubleÂ Overhead Camshaft,Auto,Pale White,25001,Hardtop,Chevrolet
2023-11-25,Male,665500,Prizm,Overhead Camshaft,Manual,Pale White,21500,Hardtop,Chevrolet
2023-01-17,Male,1330000,Durango,Overhead Camshaft,Manual,Black,22000,SUV,Dodge
2022-08-15,Female,585000,Ram Van,DoubleÂ Overhead Camshaft,Auto,Red,31000,Hatchback,Dodge
2022-09-11,Female,1420000,300M,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,SUV,Chrysler
2023-06-11,Male,485000,Durango,Overhead Camshaft,Manual,Pale White,31001,SUV,Dodge
2022-10-19,Female,720000,Escort,Overhead Camshaft,Manual,Black,11000,Passenger,Ford
2023-11-22,Female,485000,SLK230,Overhead Camshaft,Manual,Pale White,14001,Hatchback,Mercedes-B
2022-02-28,Male,1600000,Park Avenue,Overhead Camshaft,Manual,Black,29000,Hatchback,Buick
2022-02-06,Male,685000,Caravan,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,Hardtop,Dodge
2023-03-14,Male,820000,Ram Pickup,Overhead Camshaft,Manual,Pale White,20000,Hatchback,Dodge
2022-12-14,Male,700000,Odyssey,Overhead Camshaft,Manual,Pale White,27000,Passenger,Honda
2023-12-18,Male,13500,323i,DoubleÂ Overhead Camshaft,Auto,Red,19000,Hatchback,BMW
2023-09-08,Female,931000,Aurora,Overhead Camshaft,Manual,Red,34000,Passenger,Oldsmobile
2023-12-01,Female,3050000,Malibu,Overhead Camshaft,Manual,Pale White,41000,Hardtop,Chevrolet
2023-09-08,Male,665000,Wrangler,Overhead Camshaft,Manual,Pale White,23000,Hatchback,Jeep
2023-04-01,Female,1150000,Durango,DoubleÂ Overhead Camshaft,Auto,Red,22000,SUV,Dodge
2022-03-22,Male,646500,528i,DoubleÂ Overhead Camshaft,Auto,Pale White,62500,SUV,BMW
2023-06-06,Male,13500,S-Class,DoubleÂ Overhead Camshaft,Auto,Pale White,14000,SUV,Mercedes-B
2023-12-06,Male,520000,RL,Overhead Camshaft,Manual,Red,34000,SUV,Acura
2023-11-18,Male,1400000,GTI,DoubleÂ Overhead Camshaft,Auto,Pale White,25000,SUV,Volkswagen
2022-09-28,Male,1270500,Wrangler,Overhead Camshaft,Manual,Pale White,23050,Hatchback,Jeep
2022-09-06,Male,853000,Ram Wagon,DoubleÂ Overhead Camshaft,Auto,Black,22000,Passenger,Dodge
2023-05-23,Male,1940000,GS400,DoubleÂ Overhead Camshaft,Auto,Black,12001,Hatchback,Lexus
2023-11-13,Male,795000,Catera,DoubleÂ Overhead Camshaft,Auto,Pale White,28000,Hatchback,Cadillac
2022-09-21,Male,645000,Sunfire,DoubleÂ Overhead Camshaft,Auto,Black,18000,Sedan,Pontiac
2022-05-28,Male,700000,Prizm,DoubleÂ Overhead Camshaft,Auto,Red,15000,Hardtop,Chevrolet
2023-11-27,Male,13500,Grand Am,DoubleÂ Overhead Camshaft,Auto,Pale White,12001,SUV,Pontiac
2023-12-03,Male,13500,Aurora,Overhead Camshaft,Manual,Red,34000,Passenger,Oldsmobile
2023-09-02,Male,13500,Catera,DoubleÂ Overhead Camshaft,Auto,Pale White,75001,Hatchback,Cadillac
2023-04-16,Female,920000,Voyager,Overhead Camshaft,Manual,Red,12001,Passenger,Plymouth
2022-08-10,Male,705000,Prizm,Overhead Camshaft,Manual,Pale White,22000,SUV,Chevrolet
2023-07-25,Female,807500,RAV4,DoubleÂ Overhead Camshaft,Auto,Pale White,27501,Hatchback,Toyota
2023-04-19,Female,370000,Sentra,DoubleÂ Overhead Camshaft,Auto,Black,16001,Passenger,Nissan
2023-11-21,Male,540000,Lumina,Overhead Camshaft,Manual,Black,10001,Passenger,Chevrolet
2022-10-31,Male,722000,Carrera Coupe,DoubleÂ Overhead Camshaft,Auto,Red,15000,Hatchback,Porsche
2022-12-11,Male,372000,S70,Overhead Camshaft,Manual,Black,22000,Hardtop,Volvo
2023-05-30,Male,13500,Corvette,DoubleÂ Overhead Camshaft,Auto,Red,45001,SUV,Chevrolet
2022-03-05,Male,615000,Grand Marquis,DoubleÂ Overhead Camshaft,Auto,Black,9000,SUV,Mercury
2023-09-12,Male,865000,C-Class,DoubleÂ Overhead Camshaft,Auto,Black,14000,Hatchback,Mercedes-B
2022-05-28,Male,830000,Ram Van,DoubleÂ Overhead Camshaft,Auto,Pale White,15000,Hatchback,Dodge
2022-06-26,Female,330500,Civic,Overhead Camshaft,Manual,Pale White,45500,Hatchback,Honda
2022-08-13,Male,960000,SLK,DoubleÂ Overhead Camshaft,Auto,Red,19000,Passenger,Mercedes-B
2022-06-28,Male,1000000,V70,DoubleÂ Overhead Camshaft,Auto,Black,39000,Passenger,Volvo
2022-12-04,Male,752000,Viper,DoubleÂ Overhead Camshaft,Auto,Red,41000,SUV,Dodge
2022-05-31,Male,510000,Cutlass,DoubleÂ Overhead Camshaft,Auto,Red,15000,Sedan,Oldsmobile
2022-11-13,Male,2408000,A4,DoubleÂ Overhead Camshaft,Auto,Black,27800,Hardtop,Audi
2022-09-06,Male,1236000,LW,DoubleÂ Overhead Camshaft,Auto,Pale White,18600,Hatchback,Saturn
2023-08-15,Male,698000,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Pale White,62000,Hatchback,Buick
2023-11-03,Female,300000,Windstar,DoubleÂ Overhead Camshaft,Auto,Pale White,19001,Sedan,Ford
2022-05-14,Male,1211000,Camaro,DoubleÂ Overhead Camshaft,Auto,Red,24100,Sedan,Chevrolet
2023-06-26,Male,1055000,323i,DoubleÂ Overhead Camshaft,Auto,Black,9501,Hatchback,BMW
2022-02-22,Male,765000,SC,Overhead Camshaft,Manual,Pale White,61000,Hatchback,Saturn
2023-03-08,Male,13500,3000GT,DoubleÂ Overhead Camshaft,Auto,Red,19000,Sedan,Mitsubishi
2023-05-29,Female,1050000,Cavalier,Overhead Camshaft,Manual,Pale White,20001,SUV,Chevrolet
2022-01-03,Male,600000,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Black,45001,Hatchback,Mitsubishi
2023-11-20,Female,655000,Seville,Overhead Camshaft,Manual,Black,44001,SUV,Cadillac
2022-05-01,Female,1410000,Ram Pickup,Overhead Camshaft,Manual,Pale White,21001,Hatchback,Dodge
2023-08-04,Female,610000,Odyssey,Overhead Camshaft,Manual,Pale White,27001,Passenger,Honda
2022-12-06,Male,2475000,DeVille,DoubleÂ Overhead Camshaft,Auto,Red,22501,SUV,Cadillac
2023-12-22,Male,675000,Grand Marquis,DoubleÂ Overhead Camshaft,Auto,Black,9000,SUV,Mercury
2022-06-23,Male,710000,Silhouette,Overhead Camshaft,Manual,Red,34000,Sedan,Oldsmobile
2023-12-22,Male,1015000,Alero,Overhead Camshaft,Manual,Black,17500,Hardtop,Oldsmobile
2022-12-25,Male,13500,RL,Overhead Camshaft,Manual,Pale White,17001,SUV,Acura
2023-07-04,Male,358000,Town car,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,Hatchback,Lincoln
2023-11-07,Male,13500,Expedition,Overhead Camshaft,Manual,Black,10000,SUV,Ford
2022-07-11,Male,13500,Accord,Overhead Camshaft,Manual,Black,43000,Sedan,Honda
2022-01-05,Male,410000,A6,Overhead Camshaft,Manual,Black,15000,SUV,Audi
2022-09-15,Male,13500,Lumina,Overhead Camshaft,Manual,Pale White,12000,Passenger,Chevrolet
2022-05-07,Male,985000,Corvette,Overhead Camshaft,Manual,Black,26000,SUV,Chevrolet
2023-11-30,Male,900000,3000GT,Overhead Camshaft,Manual,Pale White,20000,Sedan,Mitsubishi
2023-09-28,Female,13500,Diamante,Overhead Camshaft,Manual,Red,12000,Hatchback,Mitsubishi
2022-08-21,Male,450000,Ranger,DoubleÂ Overhead Camshaft,Auto,Black,61000,Hardtop,Ford
2023-09-02,Male,750000,Seville,Overhead Camshaft,Manual,Pale White,22001,SUV,Cadillac
2023-02-21,Male,1020000,Silhouette,Overhead Camshaft,Manual,Red,25000,Sedan,Oldsmobile
2022-12-11,Female,940000,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,16000,Passenger,Volkswagen
2023-10-09,Male,790000,A6,DoubleÂ Overhead Camshaft,Auto,Black,14000,SUV,Audi
2023-09-30,Male,667500,Ram Pickup,Overhead Camshaft,Manual,Pale White,16501,Hardtop,Dodge
2022-10-09,Male,575500,Regal,DoubleÂ Overhead Camshaft,Auto,Black,19500,Passenger,Buick
2023-12-01,Male,715000,Metro,DoubleÂ Overhead Camshaft,Auto,Pale White,19001,Passenger,Chevrolet
2023-01-22,Male,1100000,Diamante,Overhead Camshaft,Manual,Black,22000,Hatchback,Mitsubishi
2022-10-31,Male,782500,C-Class,DoubleÂ Overhead Camshaft,Auto,Black,14500,Hatchback,Mercedes-B
2022-10-20,Male,1355000,Escalade,DoubleÂ Overhead Camshaft,Auto,Pale White,38500,Sedan,Cadillac
2023-10-28,Female,595000,Passat,DoubleÂ Overhead Camshaft,Auto,Pale White,13001,Hatchback,Volkswagen
2022-09-10,Female,925000,Breeze,DoubleÂ Overhead Camshaft,Auto,Pale White,39000,Hardtop,Plymouth
2023-02-05,Male,520000,Altima,DoubleÂ Overhead Camshaft,Auto,Red,21000,Hatchback,Nissan
2023-09-20,Male,2400000,328i,DoubleÂ Overhead Camshaft,Auto,Black,16000,Sedan,BMW
2023-09-11,Male,13500,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Pale White,53000,SUV,Mitsubishi
2023-05-14,Male,2200000,Viper,DoubleÂ Overhead Camshaft,Auto,Red,31000,SUV,Dodge
2023-12-01,Female,13500,LHS,DoubleÂ Overhead Camshaft,Auto,Black,26000,Hatchback,Chrysler
2022-08-13,Male,806000,Grand Prix,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,Passenger,Pontiac
2023-07-21,Male,920000,Sable,DoubleÂ Overhead Camshaft,Auto,Pale White,39000,Sedan,Mercury
2022-07-18,Male,1870000,Explorer,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,Hatchback,Ford
2023-04-17,Male,725500,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,21500,Sedan,Honda
2023-06-07,Female,520000,3000GT,Overhead Camshaft,Manual,Pale White,24001,Sedan,Mitsubishi
2023-07-07,Male,600000,Corvette,Overhead Camshaft,Manual,Black,26001,SUV,Chevrolet
2022-08-24,Male,1270000,Silhouette,Overhead Camshaft,Manual,Pale White,26000,Sedan,Oldsmobile
2023-12-08,Male,13500,3000GT,DoubleÂ Overhead Camshaft,Auto,Red,19000,Sedan,Mitsubishi
2022-12-04,Male,1045000,LS,DoubleÂ Overhead Camshaft,Auto,Pale White,45500,Sedan,Saturn
2022-06-01,Male,1000000,Mustang,DoubleÂ Overhead Camshaft,Auto,Pale White,22001,Hatchback,Ford
2023-09-05,Male,13500,Diamante,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,Hatchback,Mitsubishi
2023-12-15,Male,1050000,4Runner,DoubleÂ Overhead Camshaft,Auto,Red,35000,Sedan,Toyota
2022-12-05,Male,560000,TL,DoubleÂ Overhead Camshaft,Auto,Black,28001,Hatchback,Acura
2023-09-24,Male,750000,Cabrio,DoubleÂ Overhead Camshaft,Auto,Pale White,17000,Sedan,Volkswagen
2023-02-15,Male,565000,SC,DoubleÂ Overhead Camshaft,Auto,Red,12000,Hardtop,Saturn
2023-08-15,Male,780000,Malibu,DoubleÂ Overhead Camshaft,Auto,Black,16001,SUV,Chevrolet
2022-12-18,Male,700000,Accent,Overhead Camshaft,Manual,Black,18000,Hatchback,Hyundai
2022-06-16,Female,13500,3000GT,DoubleÂ Overhead Camshaft,Auto,Red,19000,Sedan,Mitsubishi
2023-07-23,Male,860000,Ram Van,DoubleÂ Overhead Camshaft,Auto,Pale White,12001,Hatchback,Dodge
2023-12-11,Male,785000,Silhouette,DoubleÂ Overhead Camshaft,Auto,Black,60000,Sedan,Oldsmobile
2023-05-09,Male,13500,Ram Wagon,DoubleÂ Overhead Camshaft,Auto,Black,22000,Passenger,Dodge
2022-12-15,Male,1600000,Accord,Overhead Camshaft,Manual,Pale White,14000,Sedan,Honda
2023-05-23,Female,598000,Sienna,Overhead Camshaft,Manual,Black,12001,Passenger,Toyota
2022-09-11,Male,750000,Mystique,DoubleÂ Overhead Camshaft,Auto,Pale White,29000,Passenger,Mercury
2023-10-13,Male,1015000,528i,DoubleÂ Overhead Camshaft,Auto,Black,31500,SUV,BMW
2023-03-01,Male,13500,A4,DoubleÂ Overhead Camshaft,Auto,Black,27001,Hardtop,Audi
2023-11-03,Male,745500,Ram Pickup,DoubleÂ Overhead Camshaft,Auto,Pale White,45500,Hardtop,Dodge
2022-11-20,Male,836000,Carrera Coupe,Overhead Camshaft,Manual,Black,16001,Hatchback,Porsche
2023-11-12,Male,845000,Passat,DoubleÂ Overhead Camshaft,Auto,Pale White,13000,Hatchback,Volkswagen
2022-12-01,Male,555000,Cherokee,DoubleÂ Overhead Camshaft,Auto,Pale White,36000,Sedan,Jeep
2023-11-18,Male,563000,Aurora,Overhead Camshaft,Manual,Pale White,71000,Passenger,Oldsmobile
2022-12-14,Male,700000,Camaro,DoubleÂ Overhead Camshaft,Auto,Pale White,24000,Sedan,Chevrolet
2022-09-16,Male,687000,Town & Country,Overhead Camshaft,Manual,Pale White,17001,Sedan,Chrysler
2022-04-16,Male,13500,323i,DoubleÂ Overhead Camshaft,Auto,Black,9000,Hatchback,BMW
2022-04-13,Male,1336000,CR-V,DoubleÂ Overhead Camshaft,Auto,Black,31600,SUV,Honda
2022-08-05,Male,493000,LS,DoubleÂ Overhead Camshaft,Auto,Pale White,45000,Sedan,Saturn
2023-05-24,Male,2102000,Passat,DoubleÂ Overhead Camshaft,Auto,Pale White,31201,Hatchback,Volkswagen
2022-07-11,Male,435000,TL,DoubleÂ Overhead Camshaft,Auto,Black,28000,Hatchback,Acura
2023-02-16,Male,13500,Metro,DoubleÂ Overhead Camshaft,Auto,Pale White,19001,Passenger,Chevrolet
2022-10-30,Male,945000,Eldorado,Overhead Camshaft,Manual,Red,31000,Passenger,Cadillac
2023-06-12,Female,550000,LW,DoubleÂ Overhead Camshaft,Auto,Pale White,18001,Hatchback,Saturn
2022-12-24,Male,13500,Mountaineer,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,Hardtop,Mercury
2023-09-19,Male,13500,Grand Am,DoubleÂ Overhead Camshaft,Auto,Pale White,12000,SUV,Pontiac
2022-11-28,Male,2145000,Grand Marquis,DoubleÂ Overhead Camshaft,Auto,Black,19500,SUV,Mercury
2023-09-19,Male,830000,S-Type,DoubleÂ Overhead Camshaft,Auto,Black,27001,Passenger,Jaguar
2022-12-28,Male,480000,LW,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,Hatchback,Saturn
2022-05-24,Male,2750000,RL,Overhead Camshaft,Manual,Red,34000,SUV,Acura
2023-09-12,Male,2455000,Prizm,DoubleÂ Overhead Camshaft,Auto,Red,15500,SUV,Chevrolet
2022-06-05,Male,1460000,Silhouette,DoubleÂ Overhead Camshaft,Auto,Black,60000,Sedan,Oldsmobile
2022-05-28,Male,1905000,Sienna,Overhead Camshaft,Manual,Black,27500,Passenger,Toyota
2023-06-26,Female,752000,Sebring Coupe,Overhead Camshaft,Manual,Pale White,26001,Sedan,Chrysler
2023-09-02,Male,600000,Celica,Overhead Camshaft,Manual,Pale White,14000,SUV,Toyota
2022-08-24,Male,13500,SC,DoubleÂ Overhead Camshaft,Auto,Red,12001,SUV,Saturn
2023-08-28,Female,13500,Forester,DoubleÂ Overhead Camshaft,Auto,Black,22000,SUV,Subaru
2022-09-25,Male,815000,Malibu,Overhead Camshaft,Manual,Pale White,57000,Hardtop,Chevrolet
2023-11-05,Male,802500,Prizm,Overhead Camshaft,Manual,Black,16500,Hardtop,Chevrolet
2023-11-20,Male,607500,Catera,DoubleÂ Overhead Camshaft,Auto,Pale White,28500,Hatchback,Cadillac
2023-08-01,Male,1740000,Voyager,Overhead Camshaft,Manual,Black,75001,Passenger,Plymouth
2022-06-11,Male,13500,Passat,DoubleÂ Overhead Camshaft,Auto,Red,13001,Hatchback,Volkswagen
2023-03-20,Male,980000,Silhouette,Overhead Camshaft,Manual,Pale White,14000,Sedan,Oldsmobile
2023-01-31,Male,13500,323i,DoubleÂ Overhead Camshaft,Auto,Red,15000,Hatchback,BMW
2022-11-24,Male,13500,LS400,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,Sedan,Lexus
2022-11-21,Female,1325000,SLK230,Overhead Camshaft,Manual,Pale White,14500,Hatchback,Mercedes-B
2022-05-08,Female,13500,Sebring Coupe,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,Sedan,Chrysler
2023-11-10,Female,648500,Voyager,DoubleÂ Overhead Camshaft,Auto,Pale White,22501,Passenger,Plymouth
2023-02-05,Male,1425000,Silhouette,DoubleÂ Overhead Camshaft,Auto,Red,12500,Sedan,Oldsmobile
2023-11-08,Male,2750000,Jetta,DoubleÂ Overhead Camshaft,Auto,Black,22000,Passenger,Volkswagen
2022-12-25,Male,705000,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,Hardtop,Chrysler
2023-03-14,Female,1180000,Caravan,DoubleÂ Overhead Camshaft,Auto,Red,19000,Hatchback,Dodge
2023-11-06,Male,1665000,Viper,DoubleÂ Overhead Camshaft,Auto,Pale White,41500,SUV,Dodge
2022-09-18,Male,13500,Eldorado,Overhead Camshaft,Manual,Black,29000,Passenger,Cadillac
2023-10-06,Male,13500,Camaro,DoubleÂ Overhead Camshaft,Auto,Pale White,17001,Sedan,Chevrolet
2022-11-05,Male,850000,Grand Marquis,Overhead Camshaft,Manual,Pale White,16001,SUV,Mercury
2022-09-21,Male,945000,Taurus,Overhead Camshaft,Manual,Pale White,22000,SUV,Ford
2022-05-30,Male,4350000,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Pale White,62000,Hatchback,Buick
2022-11-08,Male,1150000,Wrangler,Overhead Camshaft,Manual,Red,13000,Hatchback,Jeep
2022-10-30,Male,460000,Neon,DoubleÂ Overhead Camshaft,Auto,Pale White,27000,SUV,Plymouth
2023-09-20,Male,1200000,S70,DoubleÂ Overhead Camshaft,Auto,Black,26001,SUV,Volvo
2023-03-31,Female,565000,Regal,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,Passenger,Buick
2022-11-01,Male,2450000,Focus,Overhead Camshaft,Manual,Red,17000,Hardtop,Ford
2023-12-05,Male,470000,528i,DoubleÂ Overhead Camshaft,Auto,Black,31001,SUV,BMW
2022-12-25,Male,920000,3-Sep,DoubleÂ Overhead Camshaft,Auto,Black,23001,Sedan,Saab
2023-12-23,Male,796000,Navigator,DoubleÂ Overhead Camshaft,Auto,Black,19000,Sedan,Lincoln
2022-04-02,Female,950000,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,75000,Hatchback,Nissan
2023-11-07,Female,582500,Continental,Overhead Camshaft,Manual,Black,42500,Passenger,Lincoln
2022-09-26,Male,13500,Concorde,Overhead Camshaft,Manual,Black,18000,Hardtop,Chrysler
2022-02-09,Male,805000,323i,DoubleÂ Overhead Camshaft,Auto,Pale White,22001,Hatchback,BMW
2022-12-06,Male,1570000,Continental,Overhead Camshaft,Manual,Black,18001,Passenger,Lincoln
2022-12-12,Male,13500,M-Class,DoubleÂ Overhead Camshaft,Auto,Black,18000,Hatchback,Mercedes-B
2023-12-05,Male,1105000,Galant,DoubleÂ Overhead Camshaft,Auto,Pale White,42500,Passenger,Mitsubishi
2022-01-26,Male,1135000,Prizm,Overhead Camshaft,Manual,Pale White,21500,SUV,Chevrolet
2022-09-01,Male,13500,SL-Class,Overhead Camshaft,Manual,Red,17000,Hardtop,Mercedes-B
2022-10-05,Female,945000,Galant,DoubleÂ Overhead Camshaft,Auto,Pale White,42001,Passenger,Mitsubishi
2023-09-13,Male,1321000,Quest,Overhead Camshaft,Manual,Black,38101,SUV,Nissan
2023-07-25,Male,610000,S70,DoubleÂ Overhead Camshaft,Auto,Black,26000,SUV,Volvo
2023-03-13,Male,400000,I30,DoubleÂ Overhead Camshaft,Auto,Black,49001,Hardtop,Infiniti
2023-07-22,Male,565000,Celica,Overhead Camshaft,Manual,Pale White,14001,SUV,Toyota
2023-09-02,Male,1199000,LS400,DoubleÂ Overhead Camshaft,Auto,Pale White,27900,Sedan,Lexus
2023-09-19,Male,625000,Sebring Coupe,Overhead Camshaft,Manual,Red,21001,Sedan,Chrysler
2023-09-06,Female,340000,LS,DoubleÂ Overhead Camshaft,Auto,Pale White,45001,Sedan,Saturn
2022-07-20,Male,810000,Ram Pickup,DoubleÂ Overhead Camshaft,Auto,Pale White,45001,Hardtop,Dodge
2023-11-10,Male,701000,Neon,DoubleÂ Overhead Camshaft,Auto,Black,9000,SUV,Plymouth
2023-05-05,Female,688000,E-Class,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,Sedan,Mercedes-B
2022-12-27,Female,780000,Sebring Coupe,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,Sedan,Chrysler
2022-12-08,Male,2550000,Villager,Overhead Camshaft,Manual,Pale White,16001,Passenger,Mercury
2023-10-17,Male,800000,GTI,Overhead Camshaft,Manual,Black,25000,SUV,Volkswagen
2023-11-28,Male,350000,I30,Overhead Camshaft,Manual,Pale White,22000,Hardtop,Infiniti
2023-12-09,Male,13500,Neon,Overhead Camshaft,Manual,Red,19001,Hardtop,Dodge
2023-11-10,Male,13500,Metro,Overhead Camshaft,Manual,Pale White,37000,Passenger,Chevrolet
2023-09-08,Male,460000,Grand Cherokee,DoubleÂ Overhead Camshaft,Auto,Pale White,36001,SUV,Jeep
2022-09-17,Male,755000,Sebring Coupe,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,Sedan,Chrysler
2023-12-06,Male,420000,LHS,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,Hatchback,Chrysler
2023-07-17,Male,708000,Town car,Overhead Camshaft,Manual,Pale White,33000,Hatchback,Lincoln
2022-03-12,Female,635500,Continental,Overhead Camshaft,Manual,Black,42500,Passenger,Lincoln
2022-09-24,Male,1250000,Integra,DoubleÂ Overhead Camshaft,Auto,Black,45000,Passenger,Acura
2023-06-11,Male,1275000,M-Class,Overhead Camshaft,Manual,Pale White,41500,Hardtop,Mercedes-B
2023-10-21,Female,645000,Seville,Overhead Camshaft,Manual,Pale White,22000,Hardtop,Cadillac
2023-06-14,Male,535000,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,Sedan,Volvo
2022-12-24,Male,1706000,328i,Overhead Camshaft,Manual,Pale White,21600,Sedan,BMW
2022-09-19,Male,735000,LX470,DoubleÂ Overhead Camshaft,Auto,Pale White,15000,SUV,Lexus
2023-11-14,Male,2201000,528i,Overhead Camshaft,Manual,Black,21100,SUV,BMW
2023-12-14,Male,2180000,Navigator,Overhead Camshaft,Manual,Pale White,33000,Sedan,Lincoln
2022-06-09,Male,1295000,Quest,Overhead Camshaft,Manual,Black,19500,SUV,Nissan
2022-12-27,Male,13500,GS400,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,Hatchback,Lexus
2023-11-14,Male,13500,Jetta,Overhead Camshaft,Manual,Pale White,24000,Passenger,Volkswagen
2023-06-04,Male,1500000,Caravan,DoubleÂ Overhead Camshaft,Auto,Black,23000,Hardtop,Dodge
2022-07-05,Male,1100000,Cabrio,DoubleÂ Overhead Camshaft,Auto,Black,16000,Sedan,Volkswagen
2023-04-01,Male,1343000,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Black,21301,SUV,Toyota
2023-11-14,Male,4500000,Mustang,Overhead Camshaft,Manual,Pale White,25001,Hatchback,Ford
2022-12-05,Male,595000,323i,DoubleÂ Overhead Camshaft,Auto,Red,22001,Hatchback,BMW
2023-05-09,Male,705000,Forester,Overhead Camshaft,Manual,Red,17000,Hardtop,Subaru
2023-05-17,Male,13500,Maxima,Overhead Camshaft,Manual,Red,29001,Sedan,Nissan
2023-12-04,Male,700000,Eclipse,DoubleÂ Overhead Camshaft,Auto,Black,27001,Hardtop,Mitsubishi
2022-09-07,Male,1140000,LHS,DoubleÂ Overhead Camshaft,Auto,Pale White,20000,Hatchback,Chrysler
2022-12-10,Male,575000,Beetle,Overhead Camshaft,Manual,Pale White,21000,Hardtop,Volkswagen
2023-12-29,Male,13500,LHS,DoubleÂ Overhead Camshaft,Auto,Red,16000,Hatchback,Chrysler
2023-05-20,Male,606000,SL-Class,Overhead Camshaft,Manual,Black,38000,Hardtop,Mercedes-B
2022-07-31,Male,825000,323i,Overhead Camshaft,Manual,Red,21000,Hatchback,BMW
2023-09-06,Male,555000,Accord,Overhead Camshaft,Manual,Red,14000,Sedan,Honda
2022-07-20,Male,800000,Neon,DoubleÂ Overhead Camshaft,Auto,Pale White,27000,SUV,Plymouth
2023-12-15,Female,550000,Grand Marquis,Overhead Camshaft,Manual,Pale White,16000,SUV,Mercury
2022-07-18,Male,657000,528i,Overhead Camshaft,Manual,Pale White,14000,SUV,BMW
2022-09-25,Female,640000,Crown Victoria,Overhead Camshaft,Manual,Pale White,20000,Passenger,Ford
2022-04-16,Male,13500,3000GT,DoubleÂ Overhead Camshaft,Auto,Red,19000,Sedan,Mitsubishi
2022-03-08,Female,445000,Concorde,DoubleÂ Overhead Camshaft,Auto,Black,12000,Hatchback,Chrysler
2023-11-05,Male,1130000,RAV4,Overhead Camshaft,Manual,Black,85000,Hatchback,Toyota
2022-10-01,Male,13500,Contour,DoubleÂ Overhead Camshaft,Auto,Pale White,62000,Sedan,Ford
2022-10-01,Male,635000,Prowler,Overhead Camshaft,Manual,Pale White,71000,Hatchback,Plymouth
2023-05-02,Male,13500,A6,Overhead Camshaft,Manual,Black,25000,SUV,Audi
2023-11-12,Male,720000,Viper,DoubleÂ Overhead Camshaft,Auto,Pale White,23000,SUV,Dodge
2023-12-31,Male,13500,CR-V,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,SUV,Honda
2022-05-08,Female,13500,RL,Overhead Camshaft,Manual,Red,31000,SUV,Acura
2022-04-18,Male,13500,S40,Overhead Camshaft,Manual,Red,17000,Sedan,Volvo
2023-12-29,Male,620000,SC,Overhead Camshaft,Manual,Red,61000,Hardtop,Saturn
2023-02-05,Male,860000,Odyssey,Overhead Camshaft,Manual,Pale White,27001,Passenger,Honda
